Name,Inclination,Mean_Motion,Altitude,Orbit_Type,Velocity
COSMOS 2251,74.0369,14.33242745,788.0490822384209,LEO,7.8
COSMOS 2251 DEB,74.0341,14.32613567,790.1450121989583,LEO,7.8
COSMOS 2251 DEB,74.0299,14.52550288,724.4681801373608,LEO,7.8
COSMOS 2251 DEB,74.0312,14.35754014,779.6987460439686,LEO,7.8
COSMOS 2251 DEB,74.0376,14.42923077,755.9939231764974,LEO,7.8
COSMOS 2251 DEB,74.039,14.33705427,786.5087652061593,LEO,7.8
COSMOS 2251 DEB,74.0337,14.39777341,766.3712153729721,LEO,7.8
COSMOS 2251 DEB,74.0005,15.19323613,515.0205787870436,LEO,7.8
COSMOS 2251 DEB,74.1844,14.35373846,780.9612960349295,LEO,7.8
COSMOS 2251 DEB,74.0705,13.58572959,1048.0198071463428,LEO,7.8
COSMOS 2251 DEB,74.0441,14.73599536,656.7373795776884,LEO,7.8
COSMOS 2251 DEB,74.0327,14.40792109,763.0195283248831,LEO,7.8
COSMOS 2251 DEB,73.8656,14.73538514,656.931399449566,LEO,7.8
COSMOS 2251 DEB,74.0627,13.88989347,939.3117520577871,LEO,7.8
COSMOS 2251 DEB,74.1742,14.43826871,753.0194176328578,LEO,7.8
COSMOS 2251 DEB,73.8995,13.46073234,1093.8780210951445,LEO,7.8
COSMOS 2251 DEB,73.98,14.28164479,805.0098009564108,LEO,7.8
COSMOS 2251 DEB,74.0295,15.12292809,536.3466183990731,LEO,7.8
COSMOS 2251 DEB,74.0468,14.58457404,705.2962806238465,LEO,7.8
COSMOS 2251 DEB,74.0274,14.44763658,749.9396012425113,LEO,7.8
COSMOS 2251 DEB,74.0314,14.83289917,626.0956645531933,LEO,7.8
COSMOS 2251 DEB,74.0285,14.58168837,706.2298342666099,LEO,7.8
COSMOS 2251 DEB,73.8339,15.11059068,540.1058879411667,LEO,7.8
COSMOS 2251 DEB,73.8935,13.81990106,963.973549854968,LEO,7.8
COSMOS 2251 DEB,74.0763,15.26452697,493.5637239991229,LEO,7.8
COSMOS 2251 DEB,74.181,14.32680292,789.9226638668597,LEO,7.8
COSMOS 2251 DEB,74.0266,15.34117747,470.6792842250534,LEO,7.8
COSMOS 2251 DEB,74.0718,14.13885705,853.2423311307211,LEO,7.8
COSMOS 2251 DEB,73.8086,13.99293618,903.379246766287,LEO,7.8
COSMOS 2251 DEB,73.9825,14.72075386,661.5874384382887,LEO,7.8
COSMOS 2251 DEB,74.0645,14.53437208,721.5813438798677,LEO,7.8
COSMOS 2251 DEB,74.0486,14.44753316,749.9735838233328,LEO,7.8
COSMOS 2251 DEB,74.034,14.78582099,640.9403353881753,LEO,7.8
COSMOS 2251 DEB,74.0561,14.6248735,692.2909466484361,LEO,7.8
COSMOS 2251 DEB,74.0565,14.63491441,689.059861540728,LEO,7.8
COSMOS 2251 DEB,73.9981,14.82126649,629.7563652645731,LEO,7.8
COSMOS 2251 DEB,74.013,14.50982734,729.5776035845811,LEO,7.8
COSMOS 2251 DEB,74.0356,14.48766915,736.8157528903212,LEO,7.8
COSMOS 2251 DEB,74.0406,14.64816454,684.801725331783,LEO,7.8
COSMOS 2251 DEB,74.0371,14.38039375,772.120715443014,LEO,7.8
COSMOS 2251 DEB,74.0356,14.42989678,755.7746245074732,LEO,7.8
COSMOS 2251 DEB,74.0671,14.34044101,785.3818089078513,LEO,7.8
COSMOS 2251 DEB,74.0295,14.45027212,749.0737309650685,LEO,7.8
COSMOS 2251 DEB,73.8016,14.23766317,819.7804957345561,LEO,7.8
COSMOS 2251 DEB,73.7654,13.21584085,1185.8124070426657,LEO,7.8
COSMOS 2251 DEB,73.7659,14.1944588,834.3643910643932,LEO,7.8
COSMOS 2251 DEB,74.0533,14.62249723,693.0561525522953,LEO,7.8
COSMOS 2251 DEB,74.016,14.58898403,703.8701832263723,LEO,7.8
COSMOS 2251 DEB,73.7683,15.37827802,459.67101937619555,LEO,7.8
COSMOS 2251 DEB,73.8836,14.35850667,779.3778471947653,LEO,7.8
