Debris,Satellite,Risk_Level
COSMOS 2251,ATLAS CENTAUR 2,High
COSMOS 2251,THOR AGENA D R/B,High
COSMOS 2251,SL-3 R/B,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,SL-8 R/B,Medium
COSMOS 2251,OAO 2,High
COSMOS 2251,SERT 2,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,ASTEX 1,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,OAO 3 (COPERNICUS),High
COSMOS 2251,ATLAS CENTAUR R/B,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SEASAT 1,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-8 R/B,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,COSMOS 1536,Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,SL-12 R/B(2),High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,COSMOS 1743,Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,AJISAI (EGS),Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,COSMOS 1833,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,COSMOS 1844,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,COSMOS 1867,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,COSMOS 1933,Medium
COSMOS 2251,SL-3 R/B,Medium
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,COSMOS 1953,Medium
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,COSMOS 1975,Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,INTERCOSMOS 24,Medium
COSMOS 2251,SL-14 R/B,Medium
COSMOS 2251,DELTA 1 R/B,High
COSMOS 2251,ARIANE 40 R/B,High
COSMOS 2251,DELTA 2 R/B(1),Medium
COSMOS 2251,COSMOS 2058,Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,HST,Medium
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,COSMOS 2084,Medium
COSMOS 2251,SL-6 R/B(2),Medium
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,OKEAN-3,Medium
COSMOS 2251,COSMOS 2151,Medium
COSMOS 2251,SL-14 R/B,High
COSMOS 2251,ERS-1,High
COSMOS 2251,ARIANE 40 R/B,High
COSMOS 2251,INTERCOSMOS 25,Medium
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,SL-8 R/B,High
COSMOS 2251,USA 81,High
COSMOS 2251,COSMOS 2219,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,COSMOS 2221,Medium
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,COSMOS 2228,Medium
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,COSMOS 2242,Medium
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,ARIANE 40 R/B,High
COSMOS 2251,COSMOS 2278,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,ARIANE 40+ R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,ORBVIEW 2 (SEASTAR),High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,SL-16 R/B,High
COSMOS 2251,ISS (ZARYA),Medium
COSMOS 2251,CZ-4B R/B,High
COSMOS 2251,OKEAN-O,High
COSMOS 2251 DEB,ATLAS CENTAUR 2,High
COSMOS 2251 DEB,THOR AGENA D R/B,High
COSMOS 2251 DEB,SL-3 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-8 R/B,Medium
COSMOS 2251 DEB,OAO 2,High
COSMOS 2251 DEB,SERT 2,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,ASTEX 1,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,OAO 3 (COPERNICUS),High
COSMOS 2251 DEB,ATLAS CENTAUR R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SEASAT 1,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-8 R/B,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,COSMOS 1536,Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-12 R/B(2),High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,COSMOS 1743,Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,AJISAI (EGS),Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,COSMOS 1833,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,COSMOS 1844,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,COSMOS 1867,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,COSMOS 1933,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,COSMOS 1953,Medium
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,COSMOS 1975,Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,INTERCOSMOS 24,Medium
COSMOS 2251 DEB,SL-14 R/B,Medium
COSMOS 2251 DEB,DELTA 1 R/B,High
COSMOS 2251 DEB,ARIANE 40 R/B,High
COSMOS 2251 DEB,DELTA 2 R/B(1),Medium
COSMOS 2251 DEB,COSMOS 2058,Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,HST,Medium
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,COSMOS 2084,Medium
COSMOS 2251 DEB,SL-6 R/B(2),Medium
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,OKEAN-3,Medium
COSMOS 2251 DEB,COSMOS 2151,Medium
COSMOS 2251 DEB,SL-14 R/B,High
COSMOS 2251 DEB,ERS-1,High
COSMOS 2251 DEB,ARIANE 40 R/B,High
COSMOS 2251 DEB,INTERCOSMOS 25,Medium
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,USA 81,High
COSMOS 2251 DEB,COSMOS 2219,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,COSMOS 2221,Medium
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,COSMOS 2228,Medium
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,COSMOS 2242,Medium
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,ARIANE 40 R/B,High
COSMOS 2251 DEB,COSMOS 2278,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,ARIANE 40+ R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,ORBVIEW 2 (SEASTAR),High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,SL-16 R/B,High
COSMOS 2251 DEB,ISS (ZARYA),Medium
COSMOS 2251 DEB,CZ-4B R/B,High
COSMOS 2251 DEB,OKEAN-O,High
COSMOS 2251 DEB,ATLAS CENTAUR 2,High
COSMOS 2251 DEB,THOR AGENA D R/B,High
COSMOS 2251 DEB,SL-3 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,OAO 2,High
COSMOS 2251 DEB,SERT 2,Medium
COSMOS 2251 DEB,SL-3 R/B,Medium
COSMOS 2251 DEB,ASTEX 1,High
COSMOS 2251 DEB,SL-8 R/B,High
COSMOS 2251 DEB,OAO 3 (COPERNICUS),High
COSMOS 2251 DEB,ATLAS CENTAUR R/B,High
